field_1,MGRSid10,center_lon,center_lat,grid20id,Longitude,Latitude,ESy1,Location_u,Releve_are,PlantBert1,PlantBert2,SurveyID,year,FIRST_shor
3502,34TFN85132653,23.259224900000000,42.669014500000003,34σFN41,23.259250000000002,42.668990000000001,Y-Gra,2.000000000000000,,R21,R36,SPlotOpen_234693,1998,continental
3476,34TFN82211530,23.220023399999999,42.568653800000000,34σFN40,23.219999999999999,42.568610999999997,G16a,10.000000000000000,300.000000000000000,T17,R55,SPlotOpen_232848,2004,continental
5009,34TGN10233788,23.569453599999999,42.764676799999997,34σGN01,23.569440000000000,42.764719999999997,E22,10.000000000000000,16.000000000000000,R22,N1H,SPlotOpen_310505,2006,continental
5007,34TGN07973899,23.542267599999999,42.775279200000000,34σGN01,23.542220000000000,42.775280000000002,Y-Gra,10.000000000000000,16.000000000000000,R1B,R1A,SPlotOpen_310470,2006,continental
3504,34TDM09572099,19.912639800000001,41.735626099999998,34σDM01,19.912590000000002,41.735590000000002,G16a,10.000000000000000,256.000000000000000,T17,T1E,SPlotOpen_234763,2012,mediterranean
3503,34TDM13890471,19.966925700000001,41.589492600000000,34σDM00,19.966960000000000,41.589530000000003,G13,10.000000000000000,256.000000000000000,T13,T11,SPlotOpen_234736,2012,mediterranean
255,34TEQ30419485,21.386619199999998,45.106508900000001,34σEQ14,21.386565999999998,45.106529999999999,E12a,10.000000000000000,10.000000000000000,R1B,R1A,SPlotOpen_1003911,1991,pannonian
264,34TER33760348,21.429784800000000,45.184039300000002,34σER10,21.429843000000002,45.184061999999997,E22,10.000000000000000,50.000000000000000,R22,R1A,SPlotOpen_1004874,1991,pannonian
288,34TDR39155182,20.219579299999999,45.617304599999997,34σDR12,20.219556000000001,45.617333000000002,E63,10.000000000000000,16.000000000000000,V15,U37,SPlotOpen_1009093,2012,pannonian
256,34TDS00341420,19.708944800000001,46.174130800000000,34σDS00,19.708990000000000,46.174103000000002,?,10.000000000000000,,R37,N1H,SPlotOpen_1003971,1993,pannonian
257,34TDS02271308,19.734173400000000,46.164332799999997,34σDS00,19.734148000000001,46.164307000000001,Y-Gra,10.000000000000000,,R21,R63,SPlotOpen_1003978,1993,pannonian
285,34TDR35334465,20.171537300000001,45.552428999999997,34σDR12,20.171586000000001,45.552430000000001,E63,10.000000000000000,,R63,R62,SPlotOpen_1009000,2002,pannonian
286,34TDR34612557,20.164853699999998,45.380637399999998,34σDR11,20.164805999999999,45.380667000000003,E63,10.000000000000000,25.000000000000000,R62,R63,SPlotOpen_1009060,2011,pannonian
268,34TDS17521201,19.931854099999999,46.156720900000003,34σDS00,19.931842000000000,46.156756999999999,E12a,10.000000000000000,,R1A,U37,SPlotOpen_1006126,1993,pannonian
267,34TDS22301157,19.993822800000000,46.153323100000001,34σDS10,19.993886000000000,46.153295000000000,E12a,10.000000000000000,,R1A,U37,SPlotOpen_1006121,1993,pannonian
10947,34TDS30409085,20.086835399999998,46.867592000000002,34σDS14,20.086777999999999,46.867589000000002,E62,1000.000000000000000,17.500000000000000,R62,R1B,SPlotOpen_799380,2004,pannonian
270,34TDS13861084,19.884674499999999,46.145740099999998,34σDS00,19.884710999999999,46.145726000000003,E12b,10.000000000000000,,R1B,R1A,SPlotOpen_1006143,1993,pannonian
269,34TDS15881124,19.910754799999999,46.149591600000001,34σDS00,19.910772999999999,46.149583000000000,E12a,10.000000000000000,,R1A,U37,SPlotOpen_1006127,1993,pannonian
265,34TDS17140994,19.927295500000000,46.138047800000002,34σDS00,19.927357000000001,46.138005999999997,E12b,10.000000000000000,,R1A,R1B,SPlotOpen_1006105,1993,pannonian
266,34TDS17520106,19.933755800000000,46.058186100000000,34σDS00,19.933806000000001,46.058194000000000,E12a,10.000000000000000,,R1A,R1P,SPlotOpen_1006108,1993,pannonian
258,34TCS98801453,19.688928400000002,46.176873000000001,34σCS40,19.688924000000000,46.176898000000001,E34a,10.000000000000000,,R35,R56,SPlotOpen_1004064,1993,pannonian
261,34TCR58004838,19.180098300000001,45.574508299999998,34σCR22,19.180160999999998,45.574533000000002,?,10.000000000000000,25.000000000000000,R35,R34,SPlotOpen_1004550,1993,pannonian
262,34TCR58344683,19.184903100000000,45.560633099999997,34σCR22,19.184844999999999,45.560648000000000,?,10.000000000000000,25.000000000000000,R35,R21,SPlotOpen_1004554,1993,pannonian
284,34TCR61337609,19.214838700000001,45.824472200000002,34σCR33,19.214867000000002,45.824485000000003,E62,10.000000000000000,,R62,R63,SPlotOpen_1008834,2000,pannonian
287,34TCR53488121,19.112274500000002,45.868906899999999,34σCR24,19.112290000000002,45.868927999999997,E63,10.000000000000000,16.000000000000000,R63,MA232,SPlotOpen_1009070,2011,pannonian
263,34TCQ87458846,19.571029100000001,45.040701200000001,34σCQ44,19.570989000000001,45.040725999999999,?,10.000000000000000,25.000000000000000,R21,R36,SPlotOpen_1004769,1992,pannonian
