Observations	PlotObservationID
Molinia caerulea, Ranunculus repens, Veratrum album, Achillea millefolium, Carex disticha, Centaurea jacea, Euphorbia epithymoides, Iris sibirica, Iris spuria, Carex globularis, Dasyphyllum tomentosum, Dianthus superbus	1003971
Molinia caerulea, Ranunculus repens, Lotus tenuis, Poa pratensis, Sanguisorba officinalis, Sonchus arvensis, Trifolium repens, Achillea aspleniifolia, Angelica sylvestris, Centaurea jacea, Cirsium brachycephalum, Vicia cracca	1003978
Molinia caerulea, Agrostis stolonifera, Sanguisorba officinalis, Serratula tinctoria, Achillea aspleniifolia, Angelica sylvestris, Equisetum arvense, Lotus corniculatus, Mentha aquatica, Phragmites australis, Vicia cracca, Centaurea jacea, Centaurium littorale, Cichorium intybus, Dasyphyllum tomentosum, Lysimachia vulgaris, Plantago lanceolata, Plantago maritima, Ranunculus acris	1003993
Calamagrostis epigejos, Festuca rupicola, Inula salicina, Salix rosmarinifolia, Veronica spicata, Cytisus austriacus, Galium verum, Helianthemum nummularium, Scabiosa ochroleuca	1004003
Calamagrostis epigejos, Salix rosmarinifolia, Chrysopogon gryllus, Teucrium chamaedrys, Achillea millefolium, Dianthus giganteiformis, Festuca rupicola, Gymnadenia conopsea, Helianthemum nummularium, Lotus corniculatus, Onobrychis arenaria, Pimpinella saxifraga, Polygala comosa, Securigera varia, Stachys recta, Thesium arvense, Tragopogon orientalis	1004011
Salix rosmarinifolia, Scirpoides holoschoenus, Chrysopogon gryllus, Calamagrostis epigejos, Carex praecox, Festuca rupicola, Alyssum montanum, Alyssum tortuosum, Asperula cynanchica, Bothriochloa ischaemum, Festuca vaginata, Helianthemum nummularium, Onobrychis arenaria, Potentilla cinerea, Scabiosa ochroleuca, Stipa capillata, Teucrium chamaedrys	1004012
Cichorium intybus, Festuca pratensis, Trifolium hybridum, Elymus repens, Galium verum, Medicago arabica, Poa pratensis, Tragopogon pratensis, Alopecurus pratensis, Bellis perennis, Carex vulpina, Convolvulus arvensis, Crepis setosa, Dasyphyllum tomentosum, Inula salicina, Lathyrus aphaca, Lotus corniculatus, Plantago major, Rumex crispus, Taraxacum campylodes, Trifolium patens, Trifolium resupinatum	1004050
Veratrum album, Alopecurus pratensis, Equisetum palustre, Silene flos-cuculi, Aegopodium podagraria, Caltha palustris, Dasyphyllum tomentosum, Inula britannica, Rumex acetosa, Stachys palustris	1004064
Equisetum palustre, Ranunculus acris, Dasyphyllum tomentosum, Lysimachia vulgaris, Alopecurus pratensis, Caltha palustris, Euphorbia epithymoides, Sanguisorba officinalis, Serratula tinctoria, Phragmites australis, Rumex acetosa, Taraxacum campylodes, Veratrum album, Vicia cracca	1004066
Alopecurus pratensis, Equisetum palustre, Caltha palustris, Carex elata, Ranunculus acris, Silene flos-cuculi, Taraxacum campylodes, Aegopodium podagraria, Valeriana officinalis	1004069
Alopecurus pratensis, Equisetum palustre, Aegopodium podagraria, Calystegia sepium, Anacamptis coriophora, Anacamptis palustris, Caltha palustris, Festuca pratensis, Orchis militaris, Persicaria lapathifolia, Poa pratensis, Ranunculus acris, Rhinanthus borbasii, Serratula tinctoria, Silene flos-cuculi, Althaea officinalis, Dasyphyllum tomentosum, Lysimachia vulgaris	1004071
Carex acutiformis, Serratula tinctoria, Carex distans, Centaurea jacea, Vicia cracca, Poa trivialis, Ranunculus acris, Stachys palustris, Taraxacum campylodes, Aegopodium podagraria, Alopecurus pratensis, Cichorium intybus, Galium verum, Genista tinctoria, Pastinaca sativa, Sanguisorba officinalis, Silene multiflora	1004072
Scirpus sylvaticus, Juncus effusus, Myosotis scorpioides, Deschampsia cespitosa, Galium palustre, Juncus acutiflorus, Lysimachia nummularia, Agrostis stolonifera, Alopecurus pratensis, Caltha palustris, Eleocharis palustris, Equisetum palustre, Festuca pratensis, Glyceria notata, Juncus articulatus, Juncus thomasii, Poa trivialis, Potentilla erecta, Prunella vulgaris, Ranunculus acris	1004097
Scirpus sylvaticus, Persicaria bistorta, Carex echinata, Crepis paludosa, Filipendula ulmaria, Galeopsis tetrahit, Geum rhodopeum, Impatiens noli-tangere, Lysimachia vulgaris, Myosotis scorpioides, Pogostemon stellatus, Pteridium aquilinum	1004116
Alopecurus pratensis, Agrostis stolonifera, Lythrum salicaria, Inula britannica, Rorippa kerneri, Rumex crispus	1004190
Alopecurus pratensis, Eleocharis palustris, Poa pratensis, Agrostis stolonifera, Inula britannica, Lythrum salicaria, Rorippa kerneri, Rumex crispus	1004194
Hordeum secalinum, Alopecurus rendlei, Poa trivialis, Bromus racemosus, Carex cuprina, Trifolium resupinatum, Carex distans, Carex hirta, Eleocharis palustris, Lolium multiflorum, Lolium perenne, Ranunculus sardous, Ranunculus velutinus, Silene flos-cuculi, Taraxacum campylodes, Tragopogon orientalis, Trifolium fragiferum, Trifolium patens, Alopecurus pratensis, Anthoxanthum odoratum	1004210
Carex divisa, Carex distans, Juncus compressus, Ranunculus sardous, Trifolium fragiferum, Festuca pratensis, Ranunculus acris, Trifolium resupinatum, Anacamptis palustris, Bromus racemosus, Carex cuprina, Eleocharis palustris, Poa trivialis, Trifolium patens, Veronica anagallis-aquatica	1004214
Carex distans, Hordeum secalinum, Bromus racemosus, Lotus corniculatus, Potentilla reptans, Achillea millefolium, Crepis setosa, Festuca pratensis, Poa pratensis, Taraxacum campylodes, Trifolium resupinatum, Alopecurus pratensis, Carex cuprina, Carex hirta, Cerastium fontanum, Galium debile, Lathyrus aphaca, Lathyrus nissolia, Lathyrus pratensis, Medicago arabica, Mentha pulegium, Oenanthe silaifolia, Ranunculus repens, Ranunculus sardous, Rumex crispus, Trifolium pallidum, Trifolium patens, Trifolium repens, Verbena officinalis, Veronica serpyllifolia, Vicia hirsuta, Vicia sativa	1004296
Carex melanostachya, Galium debile, Hordeum secalinum, Oenanthe fistulosa, Ranunculus acris, Taraxacum campylodes, Trifolium patens, Trifolium resupinatum, Alopecurus pratensis, Carex cuprina, Cerastium dubium, Festuca pratensis, Lathyrus pratensis, Lotus corniculatus, Lysimachia nummularia, Potentilla reptans, Scutellaria hastifolia, Tragopogon pratensis, Trifolium fragiferum, Carex distans, Carex praecox, Elymus repens, Lythrum salicaria, Oenanthe silaifolia, Poa pratensis, Poa trivialis, Ranunculus sardous, Rumex crispus, Silene flos-cuculi	1004299
Alopecurus rendlei, Hordeum secalinum, Lysimachia nummularia, Carex hirta, Centaurea jacea, Cerastium dubium, Cichorium intybus, Festuca pratensis, Inula britannica, Lotus corniculatus, Oenanthe fistulosa, Ranunculus sardous, Rorippa sylvestris, Rumex crispus, Symphytum officinale, Taraxacum campylodes, Trifolium repens, Carex cuprina, Carex vulpina, Leucojum aestivum, Lythrum salicaria, Medicago arabica, Mentha pulegium, Poa trivialis, Potentilla reptans, Prunella vulgaris, Trifolium resupinatum, Veronica serpyllifolia, Vicia sativa	1004305
Molinia caerulea, Salix rosmarinifolia, Calamagrostis epigejos, Festuca wagneri, Helianthemum nummularium, Hieracium umbellatum, Inula salicina, Medicago falcata, Pimpinella saxifraga, Scabiosa ochroleuca, Seseli annuum, Campanula sibirica, Euphrasia stricta, Linum hirsutum, Onobrychis arenaria, Solidago virgaurea, Stachys recta	1004314
